buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2002,, ,17,6,2012,500,20.67,3,100-15,48,브라운 힐,,,11410,서대문구,연희동, 
2002,, ,14,6,2012,500,25.73,2,76-24,50,(76-24),,,11410,서대문구,연희동, 
2004,, ,2,7,2012,"3,000",19.58,3,78-4,25,시아 루비움,,,11410,서대문구,연희동, 
2007,, ,31,7,2012,"20,000",115.53,5,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2006,, ,1,7,2012,"8,200",19.4,10,190,10,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,, ,27,7,2012,"3,000",20.39,3,121-4,35,오벨리스크,,,11410,서대문구,연희동, 
2009,, ,20,7,2012,"14,000",56.12,6,165-2,0,코지펠리스,,,11410,서대문구,홍은동, 
2002,, ,21,7,2012,"3,500",20.39,4,121-4,20,오벨리스크,,,11410,서대문구,연희동, 
2009,, ,18,7,2012,"16,000",35.53,3,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2006,, ,17,7,2012,"9,500",19.4,2,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2009,, ,17,7,2012,"14,000",28.82,6,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2004,, ,16,7,2012,"3,000",19.04,2,188-3,40,(188-3),,,11410,서대문구,연희동, 
2009,, ,4,8,2012,"14,000",56.12,3,165-2,0,코지펠리스,,,11410,서대문구,홍은동, 
2005,, ,6,8,2012,"8,000",16.83,2,218-1,0,연희체스트빌,,,11410,서대문구,연희동, 
2009,, ,25,8,2012,"5,000",25.35,5,192,50,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2003,, ,17,8,2012,"2,000",22.95,2,396-24,27,현상준건물,,,11410,서대문구,홍은동, 
2002,, ,11,8,2012,"3,000",20.39,2,121-4,35,오벨리스크,,,11410,서대문구,연희동, 
2007,, ,28,8,2012,"21,000",89.73,3,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2001,, ,17,8,2012,"1,000",16.2,8,212-2,50,연희소프트빌,,,11410,서대문구,연희동, 
2009,, ,7,8,2012,"13,000",25.35,19,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2005,, ,21,8,2012,"2,000",19.01,5,103-7,55,스페이스엠,,,11410,서대문구,연희동, 
2004,, ,4,8,2012,"10,000",24.525,6,20-41,0,아남오피스텔,,,11410,서대문구,창천동, 
2006,, ,2,9,2012,"8,500",19.4,4,190,16,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2005,, ,21,9,2012,"3,000",19.01,3,103-7,45,스페이스엠,,,11410,서대문구,연희동, 
2003,, ,17,9,2012,"8,000",26.03,7,136-7,10,(136-7),,,11410,서대문구,연희동, 
2002,, ,8,9,2012,"3,500",20.39,4,121-4,25,오벨리스크,,,11410,서대문구,연희동, 
2004,, ,27,9,2012,"13,000",28.5,8,20-41,0,아남오피스텔,,,11410,서대문구,창천동, 
2004,, ,14,9,2012,"1,000",24.29,10,45-5,70,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2002,, ,26,9,2012,"1,000",25.73,7,76-24,50,(76-24),,,11410,서대문구,연희동, 
2003,, ,1,9,2012,"5,000",21.12,2,413-126,0,(413-126),,,11410,서대문구,연희동, 
2007,, ,11,9,2012,"30,000",97.65,7,194-30,0,브라운스톤 연희,,,11410,서대문구,연희동, 
2003,, ,4,9,2012,"8,000",26.03,5,136-7,10,(136-7),,,11410,서대문구,연희동, 
2003,, ,30,10,2012,"3,000",22.95,2,396-24,20,현상준건물,,,11410,서대문구,홍은동, 
2003,, ,18,10,2012,"8,000",27.48,3,136-7,8,(136-7),,,11410,서대문구,연희동, 
2007,, ,16,10,2012,"2,000",58.57,7,194-30,140,브라운스톤 연희,,,11410,서대문구,연희동, 
2006,, ,12,10,2012,"1,000",37.15,5,117,50,충정로대우디오빌,,,11410,서대문구,합동, 
2004,, ,6,10,2012,"1,000",17.16,7,78-4,50,시아 루비움,,,11410,서대문구,연희동, 
2005,, ,31,10,2012,"7,500",19.01,1,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2009,, ,13,10,2012,"15,500",35.53,5,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2006,, ,25,10,2012,"5,800",22.61,6,190,35,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2007,, ,25,10,2012,"32,000",97.65,7,194-30,0,브라운스톤 연희,,,11410,서대문구,연희동, 
2005,, ,23,10,2012,"1,000",16.83,6,218-1,58,연희체스트빌,,,11410,서대문구,연희동, 
2006,, ,26,11,2012,"8,500",42.66,3,169-3,0,드리밍 아파트,,,11410,서대문구,연희동, 
2003,, ,27,11,2012,"7,500",19.94,2,188-57,0,(188-57),,,11410,서대문구,연희동, 
2009,, ,27,11,2012,"14,000",56.12,3,165-2,0,코지펠리스,,,11410,서대문구,홍은동, 
2004,, ,27,11,2012,"13,000",28.08,7,20-41,0,아남오피스텔,,,11410,서대문구,창천동, 
2005,, ,19,11,2012,"3,000",45.63,8,27-20,80,신촌가이아,,,11410,서대문구,대현동, 
2004,, ,7,11,2012,"6,500",21.75,4,343-1,0,선정오피스텔,,,11410,서대문구,북가좌동, 
2005,, ,23,11,2012,"8,000",19.01,1,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2004,, ,26,11,2012,"3,000",19.38,1,97-64,40,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,5,11,2012,"13,500",28.5,11,20-51,0,신영스카이텔,,,11410,서대문구,창천동, 
2004,, ,5,11,2012,"11,000",38.28,6,78-4,0,시아 루비움,,,11410,서대문구,연희동, 
2003,, ,17,12,2012,"5,500",18.46,4,413-126,0,(413-126),,,11410,서대문구,연희동, 
2003,, ,26,12,2012,"1,000",22.23,4,88-11,60,정연지오빌ll,,,11410,서대문구,연희동, 
2004,, ,10,12,2012,"3,000",19.25,4,78-4,30,시아 루비움,,,11410,서대문구,연희동, 
2005,, ,31,12,2012,"1,000",16.83,6,218-1,58,연희체스트빌,,,11410,서대문구,연희동, 
2007,, ,28,12,2012,"24,000",86.17,7,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2005,, ,21,12,2012,"5,000",24.15,2,218-1,45,연희체스트빌,,,11410,서대문구,연희동, 
2006,, ,17,12,2012,"10,000",22.61,6,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2003,, ,24,12,2012,"7,000",26.03,2,136-7,15,(136-7),,,11410,서대문구,연희동, 
2007,, ,21,12,2012,"25,000",86.17,7,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2004,13.01~14.01,신규,28,12,2012,"1,000",28.5,11,20-41,70,아남오피스텔,,,11410,서대문구,창천동, 
2004,, ,27,1,2013,"2,500",19.81,4,103-6,42,라이온스톤,,,11410,서대문구,연희동, 
2004,, ,29,1,2013,"9,500",28.5,15,20-41,20,아남오피스텔,,,11410,서대문구,창천동, 
2007,, ,16,1,2013,"4,000",116.97,2,340-27,210,현대싱그런,,,11410,서대문구,연희동, 
2003,, ,3,1,2013,"7,000",26.03,4,136-7,20,(136-7),,,11410,서대문구,연희동, 
2009,, ,8,1,2013,"5,000",25.35,3,192,50,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2004,, ,30,1,2013,"14,000",28.5,13,20-41,0,아남오피스텔,,,11410,서대문구,창천동, 
2003,, ,3,1,2013,"7,000",25.04,7,136-7,20,(136-7),,,11410,서대문구,연희동, 
2004,, ,25,1,2013,"1,000",28.08,6,20-41,70,아남오피스텔,,,11410,서대문구,창천동, 
2003,, ,29,1,2013,"4,500",17.34,5,396-25,0,동림오벨리스크,,,11410,서대문구,홍은동, 
2004,, ,19,1,2013,"13,800",30.24,13,20-41,0,아남오피스텔,,,11410,서대문구,창천동, 
2005,, ,23,2,2013,500,16.83,7,218-1,58,연희체스트빌,,,11410,서대문구,연희동, 
2005,, ,18,2,2013,"2,000",16.83,5,218-1,50,연희체스트빌,,,11410,서대문구,연희동, 
2004,, ,13,2,2013,"3,000",19.04,4,188-3,40,(188-3),,,11410,서대문구,연희동, 
2004,, ,13,2,2013,"1,000",19.25,3,78-4,55,시아 루비움,,,11410,서대문구,연희동, 
2003,, ,21,2,2013,500,17.34,2,396-25,40,동림오벨리스크,,,11410,서대문구,홍은동, 
2009,, ,13,2,2013,"14,000",25.35,7,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2002,, ,23,2,2013,"7,000",20.39,5,121-4,0,오벨리스크,,,11410,서대문구,연희동, 
2002,, ,16,2,2013,"7,500",21.06,3,122-3,0,정연 지오빌,,,11410,서대문구,연희동, 
2004,13.03~14.03,신규,25,2,2013,"10,000",33.74,4,465,0,충정리시온,,,11410,서대문구,충정로3가, 
