aptNm,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
북한산두산위브,2020,, ,12,1,2020,"30,000",59.85,2,467,0,,,11410,홍은동, 
북가좌삼호,1996,, ,6,1,2020,"34,000",75.75,9,449,0,,,11410,북가좌동, 
DMC에코자이,2019,, ,15,1,2020,"90,000",118.4,23,389,0,,,11410,남가좌동, 
월드컵현대,1998,, ,12,1,2020,"36,750",59.76,3,371-1,0,,,11410,북가좌동, 
신촌럭키,1999,, ,28,1,2020,"5,000",83.38,11,144,140,,,11410,대현동, 
신촌푸르지오,2015,, ,22,1,2020,"69,000",84.9572,6,1011,0,,,11410,북아현동, 
DMC에코자이,2019,, ,8,1,2020,"5,480",43.32,6,389,8,,,11410,남가좌동, 
남가좌동현대,1999,, ,11,1,2020,"45,000",114.9,7,376,0,,,11410,남가좌동, 
DMC파크뷰자이4단지,2015,, ,27,1,2020,"20,000",84.968,4,385,100,,,11410,남가좌동, 
DMC파크뷰자이1단지,2015,, ,2,1,2020,"5,000",59.992,20,385,130,,,11410,남가좌동, 
북한산두산위브,2020,, ,12,1,2020,"40,000",84.78,13,467,0,,,11410,홍은동, 
남가좌동현대,1999,, ,10,1,2020,"43,000",114.9,12,376,0,,,11410,남가좌동, 
e편한세상신촌4단지,2018,, ,12,1,2020,"75,000",84.89,4,1013,0,,,11410,북아현동, 
인왕산벽산,2003,, ,28,1,2020,"15,000",59.82,2,465,50,,,11410,홍제동, 
DMC래미안e편한세상,2012,, ,18,1,2020,"10,000",84.95,10,481,150,,,11410,북가좌동, 
DMC래미안클라시스,2000,, ,28,1,2020,"20,000",59.97,2,377,30,,,11410,남가좌동, 
남양,1999,, ,14,1,2020,"32,000",83.07,15,457,0,,,11410,홍제동, 
독립문극동(200-0),1998,, ,23,1,2020,"47,000",84.96,22,200,0,,,11410,현저동, 
신촌럭키,1999,, ,9,1,2020,"46,000",83.38,4,144,0,,,11410,대현동, 
홍은동벽산,1997,, ,18,1,2020,"22,000",114.96,5,455,50,,,11410,홍은동, 
홍제삼성래미안,2001,, ,21,1,2020,"6,000",32.76,8,461,55,,,11410,홍제동, 
DMC파크뷰자이4단지,2015,, ,7,1,2020,"57,000",84.968,7,385,0,,,11410,남가좌동, 
청구1차,1994,, ,4,1,2020,"20,000",84.78,10,453,70,,,11410,홍제동, 
DMC래미안e편한세상,2012,, ,18,1,2020,"30,000",59.97,7,481,60,,,11410,북가좌동, 
e편한세상신촌2단지,2018,, ,13,1,2020,"63,000",59.85,6,1013,0,,,11410,북아현동, 
성원,2001,, ,16,1,2020,"34,000",59.61,10,740,0,,,11410,연희동, 
디엠씨엘가,2017,, ,29,1,2020,"1,000",17.23,12,387,74,,,11410,남가좌동, 
독립문파크빌,2000,, ,13,1,2020,"31,800",59.4,10,1019,0,,,11410,현저동, 
DMC래미안클라시스,2000,, ,11,1,2020,"48,000",114.93,17,377,0,,,11410,남가좌동, 
DMC센트럴아이파크,2018,, ,11,1,2020,"43,000",59.91,19,388,0,,,11410,남가좌동, 
신촌럭키,1999,, ,20,1,2020,"48,000",83.38,13,144,0,,,11410,대현동, 
화신,2004,, ,9,1,2020,"30,000",82.44,6,1-78,0,,,11410,북아현동, 
독립문삼호,1995,, ,7,1,2020,"47,500",84.78,9,100,0,,,11410,영천동, 
독립문삼호,1995,, ,10,1,2020,"59,000",108.63,9,100,0,,,11410,영천동, 
북가좌삼호,1996,, ,12,1,2020,"39,000",84.57,18,449,0,,,11410,북가좌동, 
남가좌동현대,1999,, ,21,1,2020,"41,000",84.78,4,376,0,,,11410,남가좌동, 
고은,1975,, ,29,1,2020,"16,000",63.8,1,156-200,0,,,11410,홍제동, 
신촌푸르지오,2015,, ,18,1,2020,"5,000",59.9973,17,1011,155,,,11410,북아현동, 
남가좌동현대,1999,, ,24,1,2020,"3,000",59.4,5,376,85,,,11410,남가좌동, 
두산,1999,, ,6,1,2020,"36,500",59.96,3,1009,0,,,11410,북아현동, 
연희웨스트팰리스,2014,, ,28,1,2020,"1,000",13.12,6,746,60,,,11410,연희동, 
두산,1999,, ,11,1,2020,"33,000",59.96,6,1009,0,,,11410,북아현동, 
DMC아이파크,2009,, ,21,1,2020,"50,000",84.95,15,458,0,,,11410,북가좌동, 
독립문극동(200-0),1998,, ,4,1,2020,"57,000",102.45,5,200,0,,,11410,현저동, 
DMC파크뷰자이1단지,2015,20.03~22.03,신규,18,1,2020,"63,000",84.98,22,385,0,,,11410,남가좌동, 
신촌럭키,1999,, ,21,1,2020,"15,000",83.38,10,144,100,,,11410,대현동, 
두산,1999,, ,23,1,2020,"38,000",59.96,12,1009,0,,,11410,북아현동, 
북한산두산위브,2020,, ,1,1,2020,"33,000",50.4,13,467,0,,,11410,홍은동, 
천연뜨란채,2006,, ,15,1,2020,"37,000",56.02,1,145,0,,,11410,천연동, 
DMC래미안e편한세상,2012,, ,14,1,2020,"53,000",84.93,15,481,0,,,11410,북가좌동, 
DMC래미안e편한세상,2012,, ,29,1,2020,"58,000",84.94,9,481,0,,,11410,북가좌동, 
DMC파크뷰자이1단지,2015,, ,15,1,2020,"60,000",84.971,24,385,0,,,11410,남가좌동, 
래미안루센티아,2020,, ,2,1,2020,"48,000",84.95,19,390,0,,,11410,남가좌동, 
연희파크푸르지오,2018,, ,18,1,2020,"45,000",59.9835,8,747,0,,,11410,연희동, 
e편한세상신촌2단지,2018,, ,15,1,2020,"10,000",59.85,15,1013,170,,,11410,북아현동, 
문화촌현대,2002,, ,22,1,2020,"27,000",59.94,12,463,0,,,11410,홍제동, 
독립문삼호,1995,, ,18,1,2020,"39,000",84.78,15,100,30,,,11410,영천동, 
DMC래미안e편한세상,2012,, ,23,1,2020,"58,000",84.95,17,481,0,,,11410,북가좌동, 
천연뜨란채,2006,, ,20,1,2020,"38,000",56.02,8,145,0,,,11410,천연동, 
청구1차,1994,, ,18,1,2020,"25,000",84.78,5,453,55,,,11410,홍제동, 
독립문극동(200-0),1998,, ,11,1,2020,"40,000",59.58,2,200,0,,,11410,현저동, 
인왕산현대,2000,, ,4,1,2020,"41,000",84.9,1,460,0,,,11410,홍제동, 
북가좌삼호,1996,, ,4,1,2020,"46,000",114.03,6,449,0,,,11410,북가좌동, 
독립문극동(200-0),1998,, ,19,1,2020,"42,000",59.58,21,200,0,,,11410,현저동, 
인왕산한신휴플러스,2009,20.02~22.02,신규,16,1,2020,"52,000",84.925,6,469,0,,,11410,홍제동, 
돈의문센트레빌,2011,, ,14,1,2020,"60,000",84.99,1,261,0,,,11410,냉천동, 
인왕산어울림,2006,, ,31,1,2020,"3,000",144.68,11,467,250,,,11410,홍제동, 
DMC에코자이,2019,, ,31,1,2020,"4,081",51.783,1,389,23,,,11410,남가좌동, 
DMC센트레빌,2009,, ,20,1,2020,"50,000",84.87,10,381,0,,,11410,남가좌동, 
DMC래미안e편한세상,2012,, ,13,1,2020,"7,000",84.95,15,481,170,,,11410,북가좌동, 
북한산두산위브,2020,, ,6,1,2020,"41,000",84.98,15,467,0,,,11410,홍은동, 
홍은동벽산,1997,, ,12,1,2020,"35,000",84.96,4,455,0,,,11410,홍은동, 
e편한세상신촌1단지,2018,, ,10,1,2020,"6,900",59.85,15,1013,150,,,11410,북아현동, 
천연뜨란채,2006,, ,31,1,2020,"25,000",30.17,2,145,0,,,11410,천연동, 
신촌럭키,1999,, ,29,1,2020,"50,000",83.38,3,144,0,,,11410,대현동, 
천연뜨란채,2006,, ,15,1,2020,"45,000",84.95,2,145,0,,,11410,천연동, 
신촌럭키,1999,, ,15,1,2020,"50,000",83.38,9,144,0,,,11410,대현동, 
천연뜨란채,2006,, ,8,1,2020,"37,000",84.95,9,145,40,,,11410,천연동, 
신촌푸르지오,2015,, ,17,1,2020,"57,000",59.9973,5,1011,0,,,11410,북아현동, 
쌍용스윗닷홈,2005,, ,10,1,2020,"55,000",128.21,13,380,0,,,11410,남가좌동, 
미동,1969,, ,30,1,2020,"14,500",55.57,5,189-8,0,,,11410,충정로3가, 
신촌푸르지오,2015,, ,11,1,2020,"67,000",84.9953,5,1011,0,,,11410,북아현동, 
DMC에코자이,2019,, ,11,1,2020,"48,000",59.79,16,389,0,,,11410,남가좌동, 
DMC파크뷰자이2단지,2015,, ,17,1,2020,"57,000",84.99,6,385,0,,,11410,남가좌동, 
DMC래미안e편한세상,2012,, ,11,1,2020,"58,000",84.92,11,481,0,,,11410,북가좌동, 
유원하나,1996,, ,14,1,2020,"25,000",82.35,11,454,0,,,11410,홍제동, 
독립문극동(200-0),1998,, ,4,1,2020,"50,000",84.87,8,200,0,,,11410,현저동, 
e편한세상신촌1단지,2018,, ,30,1,2020,"10,000",59.85,12,1013,150,,,11410,북아현동, 
독립문극동(200-0),1998,, ,9,1,2020,"43,000",59.58,15,200,0,,,11410,현저동, 
대우푸르지오,2002,, ,13,1,2020,"49,000",84.706,13,739,0,,,11410,연희동, 
e편한세상신촌2단지,2018,, ,9,1,2020,"10,000",84.98,9,1013,150,,,11410,북아현동, 
남가좌동현대,1999,, ,4,1,2020,"45,000",114.9,12,376,0,,,11410,남가좌동, 
연희파크푸르지오,2018,, ,18,1,2020,"45,000",59.9835,8,747,0,,,11410,연희동, 
성원,1998,, ,11,1,2020,"4,000",41.5,6,456,60,,,11410,홍제동, 
풍림1차,1988,, ,18,1,2020,"5,000",56.61,2,440-3,50,,,11410,홍은동, 
성원,1998,, ,7,1,2020,"30,000",55.35,1,456,0,,,11410,홍제동, 
인왕산현대,2000,, ,3,1,2020,"45,000",114.72,3,460,0,,,11410,홍제동, 
대우푸르지오,2002,, ,9,1,2020,"58,000",114.705,10,739,0,,,11410,연희동, 
DMC센트레빌,2009,, ,21,1,2020,"49,000",84.87,3,381,0,,,11410,남가좌동, 
디엠씨엘가,2017,, ,28,1,2020,"1,000",13.03,5,387,55,,,11410,남가좌동, 
신촌푸르지오,2015,, ,18,1,2020,"56,500",59.993,15,1011,0,,,11410,북아현동, 
신촌자이엘라,2014,, ,20,1,2020,"2,000",22.13,23,104-36,95,,,11410,대현동, 
남가좌동현대,1999,, ,31,1,2020,"5,000",59.4,10,376,80,,,11410,남가좌동, 
홍제한양,1993,, ,18,1,2020,"5,000",60.06,3,82,80,,,11410,홍제동, 
독립문극동(200-0),1998,, ,22,1,2020,"5,000",84.87,13,200,150,,,11410,현저동, 
두산,1999,20.02~22.02,신규,4,1,2020,"35,000",59.96,2,1009,0,,,11410,북아현동, 
홍제해성,2002,, ,9,1,2020,"38,000",84.974,6,466,0,,,11410,홍제동, 
연희자이엘라,2014,, ,29,1,2020,"1,000",13.642,5,745,65,,,11410,연희동, 
대우푸르지오,2002,, ,8,1,2020,"60,000",114.705,3,739,0,,,11410,연희동, 
신촌자이엘라,2014,, ,23,1,2020,"1,000",24.7,17,104-36,95,,,11410,대현동, 
성원,2001,, ,20,1,2020,"31,000",59.61,14,740,0,,,11410,연희동, 
DMC에코자이,2019,, ,15,1,2020,"3,412",43.327,6,389,19,,,11410,남가좌동, 
e편한세상신촌4단지,2018,, ,2,1,2020,"75,000",84.82,9,1013,0,,,11410,북아현동, 
독립문극동(200-0),1998,, ,2,1,2020,"58,000",102.45,22,200,0,,,11410,현저동, 
DMC래미안클라시스,2000,, ,10,1,2020,"23,000",59.93,4,377,0,,,11410,남가좌동, 
래미안루센티아,2020,, ,6,1,2020,"30,000",84.95,14,390,80,,,11410,남가좌동, 
신촌자이엘라,2014,, ,3,1,2020,"2,000",25.21,16,104-36,97,,,11410,대현동, 
남가좌동현대,1999,, ,20,1,2020,"5,000",59.4,13,376,80,,,11410,남가좌동, 
연희자이엘라,2014,, ,18,1,2020,"4,000",13.642,6,745,50,,,11410,연희동, 
홍제비콘드림힐,2006,, ,7,1,2020,"35,000",84.9,9,468,0,,,11410,홍제동, 
연희웨스트팰리스,2014,, ,29,1,2020,"1,000",13.12,9,746,60,,,11410,연희동, 
신촌푸르지오,2015,, ,7,1,2020,"59,000",59.9973,14,1011,0,,,11410,북아현동, 
DMC파크뷰자이1단지,2015,, ,3,1,2020,"61,000",84.971,25,385,0,,,11410,남가좌동, 
청구3차,2001,, ,14,1,2020,"2,000",59.4,3,462,110,,,11410,홍제동, 
홍은미성,1985,, ,10,1,2020,"22,000",65.43,6,186-1,0,,,11410,홍은동, 
홍은동벽산,1997,, ,21,1,2020,"5,000",58.64,9,455,70,,,11410,홍은동, 
무악재한화,2001,, ,28,1,2020,"10,000",84.28,10,464,100,,,11410,홍제동, 
DMC래미안클라시스,2000,, ,11,1,2020,"33,000",59.93,5,377,0,,,11410,남가좌동, 
대우푸르지오,2002,, ,3,1,2020,"37,000",59.584,17,739,0,,,11410,연희동, 
