dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20120130,"1,500",60,0,2004,, ,19.26,4,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120130,"2,000",60,0,2004,, ,20.52,5,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120131,"3,000",43,0,2004,, ,17.16,6,78-4,시아 루비움,,,11410,서대문구,연희동, 
20120204,"9,500",12,0,2004,, ,28.5,15,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20120204,"17,000",0,0,2007,, ,86.17,5,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120206,"2,000",90,0,2006,, ,39.73,4,90-1,(90-1),,,11410,서대문구,대신동, 
20120207,"1,000",70,0,2009,, ,25.35,7,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120210,"25,000",0,0,2007,, ,114.15,3,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120216,"9,000",0,0,2003,, ,26.03,3,136-7,(136-7),,,11410,서대문구,연희동, 
20120221,"24,000",0,0,2007,, ,115.53,10,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120222,"8,000",0,0,2004,, ,20.52,1,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120225,"5,000",50,0,2004,, ,27.31,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120229,"9,500",0,0,2006,, ,19.4,8,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120301,"9,000",0,0,2006,, ,19.4,2,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120303,"3,000",40,0,2004,, ,19.95,7,188-3,(188-3),,,11410,서대문구,연희동, 
20120306,"33,000",0,0,2007,, ,115.53,8,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120308,"5,000",50,0,2009,, ,35.53,7,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120308,"15,000",0,0,2006,, ,29.26,5,117,충정로대우디오빌,,,11410,서대문구,합동, 
20120317,"7,000",23,0,2006,, ,19.4,6,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120326,"14,000",0,0,2005,, ,33.71,6,29-81,신촌 르메이에르타운5,,,11410,서대문구,창천동, 
20120328,"25,000",0,0,2007,, ,115.53,7,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120329,"5,000",0,0,2004,, ,22.68,2,328-19,엘림오피스텔,,,11410,서대문구,남가좌동, 
20120330,"1,000",55,0,2004,, ,19.25,5,78-4,시아 루비움,,,11410,서대문구,연희동, 
20120407,"20,000",0,0,2007,, ,87.59,4,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120411,"6,500",0,0,2004,, ,22.2,5,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20120411,"5,000",45,0,2007,, ,28.79,4,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20120416,"13,000",0,0,2006,, ,29.26,3,117,충정로대우디오빌,,,11410,서대문구,합동, 
20120416,"2,000",20,0,2003,, ,21.45,4,396-24,현상준건물,,,11410,서대문구,홍은동, 
20120419,"2,500",35,0,2004,, ,19.25,10,78-4,시아 루비움,,,11410,서대문구,연희동, 
20120424,"5,500",50,0,2009,, ,25.35,9,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120424,"7,500",0,0,2005,, ,19.01,3,103-7,스페이스엠,,,11410,서대문구,연희동, 
20120427,"1,000",60,0,2003,, ,22.8,4,88-11,정연지오빌ll,,,11410,서대문구,연희동, 
20120429,"14,000",0,0,2009,, ,25.35,3,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120503,"15,000",50,0,2007,, ,116.97,1,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120505,"1,000",44,0,2002,, ,20.67,5,100-15,브라운 힐,,,11410,서대문구,연희동, 
20120505,"1,500",55,0,2004,, ,19.31,1,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120507,"21,000",0,0,2007,, ,89.73,1,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120508,500,46,0,2002,, ,20.67,5,100-15,브라운 힐,,,11410,서대문구,연희동, 
20120518,"11,000",0,0,2007,, ,28.79,5,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20120524,"2,000",30,0,2003,, ,24.48,4,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20120524,"23,000",0,0,2006,, ,61.22,5,117,충정로대우디오빌,,,11410,서대문구,합동, 
20120530,"3,000",45,0,2004,, ,19.26,4,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120531,"7,000",30,0,2002,, ,36,2,122-3,정연 지오빌,,,11410,서대문구,연희동, 
20120614,500,50,0,2002,, ,25.73,2,76-24,(76-24),,,11410,서대문구,연희동, 
20120614,"1,000",70,0,2004,, ,24.29,8,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20120617,500,48,0,2002,, ,20.67,3,100-15,브라운 힐,,,11410,서대문구,연희동, 
20120621,"1,000",70,0,2004,, ,24.29,7,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20120623,"1,500",45,0,2004,, ,19.25,9,78-4,시아 루비움,,,11410,서대문구,연희동, 
20120625,"22,000",0,0,2007,, ,116.97,1,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120625,"7,500",20,0,2006,, ,22.61,4,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120626,"8,000",0,0,2003,, ,22.23,5,88-11,정연지오빌ll,,,11410,서대문구,연희동, 
20120627,"6,000",15,0,2003,, ,19.42,3,188-57,(188-57),,,11410,서대문구,연희동, 
