dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20240817,"55,000",40,0,힐스테이트신촌,2020,24.09~26.09,갱신,59.8404,18,1017,"58,800",,11410,북아현동,사용
20240817,"75,000",0,0,신촌푸르지오,2015,24.09~26.09,신규,84.9559,3,1011,,,11410,북아현동, 
20240817,"57,800",0,0,DMC파크뷰자이5단지,2015,24.10~26.10,갱신,59.981,4,385,"55,125",,11410,남가좌동, 
20240817,"88,000",0,0,e편한세상신촌2단지,2018,24.09~26.09,신규,84.93,2,1013,,,11410,북아현동, 
20240817,"13,000",60,0,홍은동벽산,1997,, ,58.64,8,455,,,11410,홍은동, 
20240817,"63,000",0,0,신촌럭키,1999,24.10~26.10,갱신,83.38,10,144,"60,000",,11410,대현동,사용
20240817,"73,000",0,0,e편한세상신촌1단지,2018,24.10~26.10,신규,59.85,14,1013,,,11410,북아현동, 
20240817,"70,000",0,0,힐스테이트신촌,2020,24.09~25.09,신규,59.8404,10,1017,,,11410,북아현동, 
20240817,"2,000",75,0,고은,1975,24.09~26.09,신규,63.8,2,156-200,,,11410,홍제동, 
20240817,"85,000",0,0,돈의문센트레빌,2011,24.10~26.10,신규,84.99,11,261,,,11410,냉천동, 
20240817,"40,000",0,0,세한숲속마을,2002,24.09~26.09,갱신,83.91,9,산11-244,"38,800",,11410,홍은동,사용
20240817,"52,500",0,0,서대문푸르지오센트럴파크,2022,24.10~26.10,신규,55.25,10,57-5,,,11410,홍제동, 
20240817,"4,000",110,0,극동,1995,24.08~26.08,신규,84.92,4,454,,,11410,홍은동, 
20240817,"76,000",0,0,힐스테이트신촌,2020,24.10~26.10,갱신,84.9715,9,1017,"73,500",,11410,북아현동, 
20240817,"32,400",0,0,극동,1995,24.09~26.09,갱신,84.92,10,454,"29,400",,11410,홍은동, 
20240817,"65,000",0,0,신촌럭키,1999,24.10~26.10,신규,83.38,12,144,,,11410,대현동, 
20240817,"5,000",135,0,홍제한양,1993,24.08~26.08,신규,60.06,6,82,,,11410,홍제동, 
20240817,"73,500",0,0,힐스테이트신촌,2020,24.10~26.10,신규,84.9715,15,1017,,,11410,북아현동, 
20240817,"40,000",0,0,홍제한양,1993,24.10~26.10,신규,60.06,8,82,,,11410,홍제동, 
20240817,"38,000",0,0,홍제한양,1993,24.10~26.10,신규,60.06,5,82,,,11410,홍제동, 
20240817,"38,000",0,0,홍제한양,1993,24.10~26.10,신규,60.06,5,82,,,11410,홍제동, 
