dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20110709,"7,000",0,0,2003,, ,22.23,6,88-11,정연지오빌ll,,,11410,서대문구,연희동, 
20110714,"1,000",80,0,2002,, ,36,4,122-3,정연 지오빌,,,11410,서대문구,연희동, 
20110715,"11,500",0,0,2005,, ,31.41,6,29-81,신촌 르메이에르타운5,,,11410,서대문구,창천동, 
20110716,"1,000",45,0,2002,, ,25.73,2,76-24,(76-24),,,11410,서대문구,연희동, 
20110718,"14,000",0,0,2009,, ,28.82,19,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20110719,"12,000",0,0,2009,, ,56.12,7,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20110720,"20,000",0,0,2007,, ,115.53,8,340-27,현대싱그런,,,11410,서대문구,연희동, 
20110720,"13,000",0,0,2009,, ,56.12,2,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20110722,"6,000",40,0,2009,, ,56.12,3,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20110723,"7,000",0,0,2006,, ,19.4,6,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110728,"8,000",10,0,2003,, ,26.03,6,136-7,(136-7),,,11410,서대문구,연희동, 
20110731,"6,500",30,0,2006,, ,19.4,5,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110801,"7,500",0,0,2005,11.08~13.08,신규,19.01,5,103-7,스페이스엠,,,11410,서대문구,연희동, 
20110803,500,45,0,2004,, ,22.59,4,328-19,엘림오피스텔,,,11410,서대문구,남가좌동, 
20110809,"7,500",15,0,2003,, ,27.48,7,136-7,(136-7),,,11410,서대문구,연희동, 
20110811,"2,500",15,0,2003,, ,15.84,1,446-270,(446-270),,,11410,서대문구,연희동, 
20110813,"9,000",0,0,2006,11.09~12.09,신규,22.61,7,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110822,"5,000",0,0,2002,, ,14.11,6,92-7,창천오피스텔,,,11410,서대문구,창천동, 
