,dealDate,deposit,monthlyRent,ChangeRate,calcedRent,excluUseAr,RPA,aptNm,buildYear,contractTerm,contractType,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
32,20110105,19000.0,0.0,7.2,114.0,84.918,1.34,홍은동풍림아이원,2002,, ,6.0,460,,,11410,홍은동, 
33,20110105,19000.0,0.0,7.2,114.0,103.11,1.11,유원하나,1996,, ,8.0,454,,,11410,홍제동, 
34,20110105,15000.0,0.0,7.2,90.0,84.6,1.06,럭키힐,2005,, ,7.0,312-67,,,11410,홍제동, 
35,20110105,16000.0,0.0,7.2,96.0,59.97,1.6,DMC래미안클라시스,2000,, ,4.0,377,,,11410,남가좌동, 
36,20110105,18000.0,0.0,7.2,108.0,59.584,1.81,대우푸르지오,2002,, ,6.0,739,,,11410,연희동, 
37,20110105,1500.0,60.0,7.2,69.0,68.76,1.0,원일,1970,, ,3.0,294-36,,,11410,홍제동, 
38,20110106,10000.0,30.0,7.2,90.0,84.96,1.06,현대그린,1996,, ,9.0,455,,,11410,홍제동, 
39,20110106,18500.0,0.0,7.2,111.0,84.93,1.31,동부센트레빌,2002,, ,4.0,260,,,11410,냉천동, 
40,20110106,13200.0,0.0,7.2,79.2,59.49,1.33,태영으뜸(데시앙),1998,, ,10.0,373,,,11410,홍제동, 
41,20110106,17500.0,0.0,7.2,105.0,59.96,1.75,두산,1999,, ,5.0,1009,,,11410,북아현동, 
42,20110106,23000.0,0.0,7.2,138.0,59.58,2.32,독립문극동(200-0),1998,, ,2.0,200,,,11410,현저동, 
43,20110106,20000.0,0.0,7.2,120.0,59.86,2.0,동부센트레빌,2002,, ,13.0,260,,,11410,냉천동, 
44,20110106,3000.0,90.0,7.2,108.0,59.93,1.8,인왕산현대,2000,, ,8.0,460,,,11410,홍제동, 
45,20110106,774.0,11.0,7.2,15.644,27.0,0.58,독립문극동(201-0),1998,, ,3.0,201,,,11410,현저동, 
46,20110106,25000.0,0.0,7.2,150.0,83.38,1.8,신촌럭키,1999,, ,2.0,144,,,11410,대현동, 
47,20110106,17000.0,0.0,7.2,102.0,116.76,0.87,DMC한양,1987,, ,7.0,431,,,11410,북가좌동, 
48,20110107,17000.0,0.0,7.2,102.0,84.78,1.2,남가좌동현대,1999,, ,8.0,376,,,11410,남가좌동, 
49,20110107,32000.0,0.0,7.2,192.0,108.63,1.77,독립문삼호,1995,, ,10.0,100,,,11410,영천동, 
50,20110107,20000.0,0.0,7.2,120.0,84.992,1.41,DMC두산위브,2007,, ,4.0,459,,,11410,북가좌동, 
51,20110107,4000.0,70.0,7.2,94.0,59.4,1.58,독립문파크빌,2000,, ,8.0,1019,,,11410,현저동, 
52,20110107,27000.0,0.0,7.2,162.0,84.87,1.91,독립문극동(200-0),1998,, ,14.0,200,,,11410,현저동, 
53,20110107,13000.0,0.0,7.2,78.0,65.34,1.19,DMC한양,1987,, ,7.0,431,,,11410,북가좌동, 
54,20110107,7000.0,0.0,7.2,42.0,54.02,0.78,인왕궁맨숀,1974,, ,6.0,104-6,,,11410,홍제동, 
55,20110107,5000.0,60.0,7.2,90.0,59.4,1.52,독립문파크빌,2000,, ,2.0,1019,,,11410,현저동, 
56,20110108,15000.0,0.0,7.2,90.0,59.94,1.5,문화촌현대,2002,, ,11.0,463,,,11410,홍제동, 
57,20110108,19500.0,0.0,7.2,117.0,59.788,1.96,래미안남가좌2차,2005,, ,6.0,379,,,11410,남가좌동, 
58,20110108,11000.0,0.0,7.2,66.0,54.54,1.21,유원,1987,, ,13.0,22,,,11410,홍은동, 
59,20110108,18500.0,0.0,7.2,111.0,83.07,1.34,남양,1999,, ,9.0,457,,,11410,홍제동, 
60,20110108,4000.0,65.0,7.2,89.0,59.4,1.5,독립문파크빌,2000,, ,2.0,1019,,,11410,현저동, 
61,20110108,9000.0,90.0,7.2,144.0,84.6,1.7,충림예하임,2010,, ,7.0,477,,,11410,충정로3가, 
62,20110108,12000.0,0.0,7.2,72.0,44.48,1.62,삼성아트빌,2002,, ,3.0,501-14,,,11410,창천동, 
63,20110108,2000.0,100.0,7.2,112.0,38.72,2.89,예스에이피엠,2007,, ,10.0,145,,,11410,대현동, 
64,20110108,25000.0,0.0,7.2,150.0,84.9,1.77,홍제원현대(459-0),2000,, ,17.0,459,,,11410,홍제동, 
65,20110108,20000.0,0.0,7.2,120.0,84.75,1.42,우민A,2001,, ,5.0,1-50,,,11410,북아현동, 
66,20110108,20000.0,0.0,7.2,120.0,84.78,1.42,청구1차,1994,, ,6.0,453,,,11410,홍제동, 
67,20110108,15000.0,0.0,7.2,90.0,59.4,1.52,청구3차,2001,, ,7.0,462,,,11410,홍제동, 
68,20110108,26000.0,0.0,7.2,156.0,84.95,1.84,성원,2001,, ,6.0,740,,,11410,연희동, 
69,20110108,12000.0,0.0,7.2,72.0,41.5,1.73,성원,1998,, ,14.0,456,,,11410,홍제동, 
70,20110108,26000.0,0.0,7.2,156.0,142.98,1.09,홍은동벽산,1997,, ,13.0,455,,,11410,홍은동, 
71,20110108,3500.0,27.0,7.2,48.0,72.73,0.66,안산맨숀,1972,, ,4.0,104-20,,,11410,홍제동, 
72,20110108,22000.0,0.0,7.2,132.0,84.77,1.56,홍제한양,1993,, ,7.0,82,,,11410,홍제동, 
